Date,Product,Region,Channel,Quantity,Unit_Price,Revenue,Discount_Pct,Customer_Rating
2025-01-28,Phone,West,Retail,7,675.39,4491.32,5,4.4
2025-12-05,Charger,East,Online,4,27.82,111.3,0,4.1
2025-01-28,Case,East,Online,3,17.11,51.34,0,4.3
2025-02-19,Laptop,East,Retail,10,846.31,8463.1,0,3.2
2025-09-08,Charger,Central,Online,18,26.63,455.35,5,4.8
2025-08-17,Laptop,North,Online,15,856.44,12846.61,0,3.5
2025-12-23,Phone,West,Online,12,641.08,6154.39,20,4.9
2025-10-11,Laptop,East,Partner,17,960.28,15508.45,5,4.4
2025-05-01,Keyboard,West,Partner,13,75.82,788.55,20,4.0
2025-12-13,Webcam,South,Online,15,82.72,1240.87,0,3.3
2025-03-06,Laptop,West,Retail,14,885.22,12393.12,0,4.3
2025-06-13,Phone,West,Retail,18,641.27,10965.66,5,4.7
2025-01-07,Webcam,West,Partner,14,90.56,1267.82,0,3.3
2025-02-21,Phone,Central,Retail,4,707.76,2264.84,20,4.1
2025-05-16,Mouse,East,Online,19,50.52,863.84,10,3.3
2025-11-13,Webcam,South,Online,13,92.22,1198.84,0,4.8
2025-09-01,Charger,Central,Retail,1,31.3,31.3,0,3.6
2025-12-23,Phone,Central,Retail,8,765.06,6120.44,0,4.5
2025-08-02,Webcam,East,Partner,7,91.59,609.08,5,4.6
2025-07-11,Laptop,South,Partner,6,901.75,5410.47,0,4.0
2025-10-19,Laptop,North,Retail,7,840.34,4705.89,20,3.1
2025-12-27,Headphones,North,Online,15,142.26,1920.57,10,4.8
2025-07-10,Keyboard,Central,Online,6,80.49,386.33,20,4.1
2025-05-13,Phone,South,Online,13,668.95,8696.39,0,4.1
2025-11-28,Headphones,North,Retail,9,154.3,1180.36,15,3.0
2025-03-09,Tablet,Central,Partner,1,458.08,458.08,0,4.6
2025-12-30,Charger,East,Retail,13,28.56,297.0,20,3.5
2025-12-13,Monitor,Central,Partner,13,371.64,4348.15,10,4.0
2025-11-28,Webcam,Central,Partner,10,90.94,773.0,15,3.1
2025-06-16,Charger,North,Partner,10,27.61,276.15,0,4.5
2025-07-26,Case,East,Retail,1,19.69,16.73,15,3.6
2025-07-18,Laptop,South,Partner,19,913.93,13891.7,20,4.5
2025-10-01,Keyboard,West,Online,12,85.42,922.57,10,3.3
2025-05-31,Phone,South,Partner,9,694.92,5316.1,15,4.5
2025-06-21,Phone,Central,Retail,8,660.17,4489.16,15,3.8
2025-05-14,Webcam,West,Partner,4,85.33,324.27,5,4.3
2025-02-06,Keyboard,Central,Retail,17,85.15,1447.6,0,3.8
2025-01-28,Tablet,East,Online,7,416.44,2915.05,0,4.1
2025-06-11,Tablet,North,Online,16,474.05,7584.78,0,3.4
2025-08-20,Charger,North,Online,6,27.31,147.5,10,4.0
2025-11-11,Mouse,North,Partner,13,50.31,621.31,5,3.8
2025-04-13,Case,North,Partner,11,20.71,182.25,20,3.4
2025-05-08,Headphones,West,Retail,12,154.77,1857.2,0,3.8
2025-03-27,Phone,West,Retail,10,744.27,7442.73,0,4.0
2025-08-11,Tablet,East,Online,16,434.88,6958.04,0,3.3
2025-04-27,Headphones,South,Online,5,155.77,778.85,0,4.2
2025-07-07,Laptop,North,Partner,9,876.56,6311.23,20,3.1
2025-02-25,Laptop,Central,Retail,4,817.77,3107.54,5,3.2
2025-12-26,Tablet,West,Retail,1,422.55,422.55,0,3.2
2025-11-15,Webcam,West,Online,14,92.57,1036.82,20,4.0
2025-05-25,Phone,West,Online,16,738.81,11820.95,0,4.6
2025-07-03,Mouse,East,Retail,2,46.99,84.59,10,3.4
2025-05-01,Laptop,South,Online,3,811.39,2434.18,0,4.3
2025-09-19,Phone,Central,Retail,4,730.25,2921.02,0,3.9
2025-08-26,Laptop,Central,Retail,6,827.05,3969.82,20,
2025-12-13,Case,North,Online,4,18.72,74.88,0,4.8
2025-12-06,Tablet,Central,Retail,15,433.61,5853.79,10,4.5
2025-04-04,Phone,East,Retail,15,685.13,10276.93,0,4.4
2025-11-29,Tablet,West,Retail,2,414.25,662.8,20,3.8
2025-10-19,Keyboard,South,Retail,13,73.96,769.22,20,3.1
2025-09-07,Phone,North,Partner,15,753.19,11297.78,0,4.3
2025-12-14,Monitor,Central,Partner,19,367.67,5937.93,15,5.0
2025-09-25,Webcam,East,Online,8,81.8,621.64,5,4.4
2025-10-13,Webcam,South,Online,6,81.07,437.78,10,4.7
2025-09-09,Case,East,Retail,9,18.02,162.14,0,4.1
2025-05-01,Phone,Central,Online,19,693.28,12513.73,5,4.0
2025-09-12,Laptop,North,Partner,14,827.56,11585.77,0,3.0
2025-11-13,Charger,Central,Retail,18,31.26,562.73,0,3.9
2025-01-28,Headphones,Central,Partner,11,159.26,1576.68,10,4.2
2025-08-20,Phone,Central,Partner,8,642.72,5141.77,0,4.7
2025-09-25,Case,East,Online,2,19.77,39.54,0,4.6
2025-05-11,Webcam,South,Partner,4,83.59,267.48,20,3.9
2025-06-23,Phone,East,Retail,2,734.95,1249.41,15,4.2
2025-12-04,Webcam,North,Partner,5,97.12,461.32,5,
2025-08-10,Webcam,West,Online,17,88.7,1206.27,20,3.4
2025-03-07,Phone,East,Retail,20,683.26,12298.67,10,4.0
2025-11-08,Headphones,East,Partner,11,142.25,1564.78,0,3.3
2025-12-25,Monitor,West,Partner,18,334.96,4823.48,20,4.5
2025-04-22,Headphones,South,Partner,10,140.35,1192.97,15,4.3
2025-10-05,Case,East,Partner,12,19.8,213.83,10,4.1
2025-10-01,Charger,North,Online,14,31.19,349.32,20,
2025-07-15,Tablet,Central,Partner,2,408.87,817.73,0,4.6
2025-05-09,Tablet,East,Online,10,479.48,4794.76,0,3.1
2025-11-12,Monitor,Central,Partner,18,374.47,6403.37,5,4.6
2025-12-07,Laptop,Central,Partner,13,975.68,12049.67,5,5.0
2025-01-28,Laptop,East,Online,7,942.81,5939.71,10,4.7
2025-11-21,Case,South,Retail,18,19.97,305.53,15,4.6
2025-08-18,Tablet,North,Retail,3,492.41,1477.24,0,4.5
2025-01-21,Mouse,North,Retail,9,46.84,421.52,0,4.7
2025-08-27,Tablet,West,Partner,11,407.69,4036.1,10,4.9
